"id","code","description","created_at","updated_at"
"56","team_registrations.create","Registrar atleta em equipe","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"57","team_registrations.read","Visualizar registros de atletas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"58","team_registrations.update","Atualizar registros","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"59","team_registrations.delete","Soft delete de registros","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"60","reports.training","Visualizar relatórios de treino","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"61","reports.matches","Visualizar relatórios de jogos","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"62","reports.wellness","Visualizar relatórios de wellness","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"63","reports.athletes","Visualizar relatórios de atletas","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"64","audit_logs.read","Visualizar logs de auditoria","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
"65","admin.full_access","Acesso total ao sistema (Super Admin)","2025-12-30 06:16:37.701647+00","2025-12-30 06:16:37.701647+00"
